#STATE  ENERGY(cm^{-1})  SPIN
 
     295:  -1689.758589   9.00
     296:  -1689.758589   9.00
     297:  -1689.758589   9.00
     298:  -1689.758589   9.00
     299:  -1689.758589   9.00
     300:  -1689.758589   9.00
     301:  -1684.444915   7.00
     302:  -1684.444915   7.00
     303:  -1684.444915   7.00
     304:  -1684.444915   7.00
     305:  -1684.444915   7.00
     306:  -1684.444915   7.00
     307:  -1684.444915   7.00
     308:  -1668.298059   5.00
     309:  -1668.298059   5.00
     310:  -1668.298059   5.00
     311:  -1668.298059   5.00
     312:  -1668.298059   5.00
     313:  -1646.530570   3.00
     314:  -1646.530570   3.00
     315:  -1646.530570   3.00
     316:  -1597.700954   5.00
     317:  -1597.700954   5.00
     318:  -1597.700954   5.00
     319:  -1597.700954   5.00
     320:  -1597.700954   5.00
     321:  -1578.692104   9.00
     322:  -1578.692104   9.00
     323:  -1578.692104   9.00
     324:  -1578.692104   9.00
     325:  -1578.692104   9.00
     326:  -1578.692104   9.00
     327:  -1578.692104   9.00
     328:  -1578.692104   9.00
     329:  -1578.692104   9.00
     330:  -1559.894680   7.00
     331:  -1559.894680   7.00
     332:  -1559.894680   7.00
     333:  -1559.894680   7.00
     334:  -1559.894680   7.00
     335:  -1559.894680   7.00
     336:  -1559.894680   7.00
     337:  -1546.340776   5.00
     338:  -1546.340776   5.00
     339:  -1546.340776   5.00
     340:  -1546.340776   5.00
     341:  -1546.340776   5.00
     342:  -1497.200876   7.00
     343:  -1497.200876   7.00
     344:  -1497.200876   7.00
     345:  -1497.200876   7.00
     346:  -1497.200876   7.00
     347:  -1497.200876   7.00
     348:  -1497.200876   7.00
     349:  -1495.160983   5.00
     350:  -1495.160983   5.00
     351:  -1495.160983   5.00
     352:  -1495.160983   5.00
     353:  -1495.160983   5.00
     354:  -1450.875046   9.00
     355:  -1450.875046   9.00
     356:  -1450.875046   9.00
     357:  -1450.875046   9.00
     358:  -1450.875046   9.00
     359:  -1450.875046   9.00
     360:  -1450.875046   9.00
     361:  -1450.875046   9.00
     362:  -1450.875046   9.00
     363:  -1445.743028   9.00
     364:  -1445.743028   9.00
     365:  -1445.743028   9.00
     366:  -1445.743028   9.00
     367:  -1445.743028   9.00
     368:  -1445.743028   9.00
     369:  -1445.743028   9.00
     370:  -1445.743028   9.00
     371:  -1445.743028   9.00
     372:  -1396.316282   9.00
     373:  -1396.316282   9.00
     374:  -1396.316282   9.00
     375:  -1396.316282   9.00
     376:  -1396.316282   9.00
     377:  -1396.316282   9.00
     378:  -1396.316282   9.00
     379:  -1396.316282   9.00
     380:  -1396.316282   9.00
     381:  -1367.624222   7.00
     382:  -1367.624222   7.00
     383:  -1367.624222   7.00
     384:  -1367.624222   7.00
     385:  -1367.624222   7.00
     386:  -1367.624222   7.00
     387:  -1367.624222   7.00
     388:  -1347.869472   5.00
     389:  -1347.869472   5.00
     390:  -1347.869472   5.00
     391:  -1347.869472   5.00
     392:  -1347.869472   5.00
     393:  -1342.082788  11.00
     394:  -1342.082788  11.00
     395:  -1342.082788  11.00
     396:  -1342.082788  11.00
     397:  -1342.082788  11.00
     398:  -1342.082788  11.00
     399:  -1342.082788  11.00
     400:  -1342.082788  11.00
     401:  -1342.082788  11.00
     402:  -1342.082788  11.00
     403:  -1342.082788  11.00
     404:  -1336.019675   9.00
     405:  -1336.019675   9.00
     406:  -1336.019675   9.00
     407:  -1336.019675   9.00
     408:  -1336.019675   9.00
     409:  -1336.019675   9.00
     410:  -1336.019675   9.00
     411:  -1336.019675   9.00
     412:  -1336.019675   9.00
     413:  -1312.881678   7.00
     414:  -1312.881678   7.00
     415:  -1312.881678   7.00
     416:  -1312.881678   7.00
     417:  -1312.881678   7.00
     418:  -1312.881678   7.00
     419:  -1312.881678   7.00
     420:  -1290.944904  11.00
     421:  -1290.944904  11.00
     422:  -1290.944904  11.00
     423:  -1290.944904  11.00
     424:  -1290.944904  11.00
     425:  -1290.944904  11.00
     426:  -1290.944904  11.00
     427:  -1290.944904  11.00
     428:  -1290.944904  11.00
     429:  -1290.944904  11.00
     430:  -1290.944904  11.00
     431:  -1205.038235   7.00
     432:  -1205.038235   7.00
     433:  -1205.038235   7.00
     434:  -1205.038235   7.00
     435:  -1205.038235   7.00
     436:  -1205.038235   7.00
     437:  -1205.038235   7.00
     438:  -1189.142420   7.00
     439:  -1189.142420   7.00
     440:  -1189.142420   7.00
     441:  -1189.142420   7.00
     442:  -1189.142420   7.00
     443:  -1189.142420   7.00
     444:  -1189.142420   7.00
     445:  -1163.184665   7.00
     446:  -1163.184665   7.00
     447:  -1163.184665   7.00
     448:  -1163.184665   7.00
     449:  -1163.184665   7.00
     450:  -1163.184665   7.00
     451:  -1163.184665   7.00
     452:  -1156.720501   9.00
     453:  -1156.720501   9.00
     454:  -1156.720501   9.00
     455:  -1156.720501   9.00
     456:  -1156.720501   9.00
     457:  -1156.720501   9.00
     458:  -1156.720501   9.00
     459:  -1156.720501   9.00
     460:  -1156.720501   9.00
     461:  -1087.959346   9.00
     462:  -1087.959346   9.00
     463:  -1087.959346   9.00
     464:  -1087.959346   9.00
     465:  -1087.959346   9.00
     466:  -1087.959346   9.00
     467:  -1087.959346   9.00
     468:  -1087.959346   9.00
     469:  -1087.959346   9.00
     470:  -1032.417192   7.00
     471:  -1032.417192   7.00
     472:  -1032.417192   7.00
     473:  -1032.417192   7.00
     474:  -1032.417192   7.00
     475:  -1032.417192   7.00
     476:  -1032.417192   7.00
     477:   -992.062515   9.00
     478:   -992.062515   9.00
     479:   -992.062515   9.00
     480:   -992.062515   9.00
     481:   -992.062515   9.00
     482:   -992.062515   9.00
     483:   -992.062515   9.00
     484:   -992.062515   9.00
     485:   -992.062515   9.00
     486:   -968.762247   9.00
     487:   -968.762247   9.00
     488:   -968.762247   9.00
     489:   -968.762247   9.00
     490:   -968.762247   9.00
     491:   -968.762247   9.00
     492:   -968.762247   9.00
     493:   -968.762247   9.00
     494:   -968.762247   9.00
     495:   -947.459910  11.00
     496:   -947.459910  11.00
     497:   -947.459910  11.00
     498:   -947.459910  11.00
     499:   -947.459910  11.00
     500:   -947.459910  11.00
     501:   -947.459910  11.00
     502:   -947.459910  11.00
     503:   -947.459910  11.00
     504:   -947.459910  11.00
     505:   -947.459910  11.00
     506:   -900.165374   7.00
     507:   -900.165374   7.00
     508:   -900.165374   7.00
     509:   -900.165374   7.00
     510:   -900.165374   7.00
     511:   -900.165374   7.00
     512:   -900.165374   7.00
     513:   -880.748143   9.00
     514:   -880.748143   9.00
     515:   -880.748143   9.00
     516:   -880.748143   9.00
     517:   -880.748143   9.00
     518:   -880.748143   9.00
     519:   -880.748143   9.00
     520:   -880.748143   9.00
     521:   -880.748143   9.00
     522:   -862.942075  11.00
     523:   -862.942075  11.00
     524:   -862.942075  11.00
     525:   -862.942075  11.00
     526:   -862.942075  11.00
     527:   -862.942075  11.00
     528:   -862.942075  11.00
     529:   -862.942075  11.00
     530:   -862.942075  11.00
     531:   -862.942075  11.00
     532:   -862.942075  11.00
     533:   -789.281004  11.00
     534:   -789.281004  11.00
     535:   -789.281004  11.00
     536:   -789.281004  11.00
     537:   -789.281004  11.00
     538:   -789.281004  11.00
     539:   -789.281004  11.00
     540:   -789.281004  11.00
     541:   -789.281004  11.00
     542:   -789.281004  11.00
     543:   -789.281004  11.00
     544:   -768.658293   9.00
     545:   -768.658293   9.00
     546:   -768.658293   9.00
     547:   -768.658293   9.00
     548:   -768.658293   9.00
     549:   -768.658293   9.00
     550:   -768.658293   9.00
     551:   -768.658293   9.00
     552:   -768.658293   9.00
     553:   -728.423591   9.00
     554:   -728.423591   9.00
     555:   -728.423591   9.00
     556:   -728.423591   9.00
     557:   -728.423591   9.00
     558:   -728.423591   9.00
     559:   -728.423591   9.00
     560:   -728.423591   9.00
     561:   -728.423591   9.00
     562:   -706.901992   9.00
     563:   -706.901992   9.00
     564:   -706.901992   9.00
     565:   -706.901992   9.00
     566:   -706.901992   9.00
     567:   -706.901992   9.00
     568:   -706.901992   9.00
     569:   -706.901992   9.00
     570:   -706.901992   9.00
     571:   -662.352349  11.00
     572:   -662.352349  11.00
     573:   -662.352349  11.00
     574:   -662.352349  11.00
     575:   -662.352349  11.00
     576:   -662.352349  11.00
     577:   -662.352349  11.00
     578:   -662.352349  11.00
     579:   -662.352349  11.00
     580:   -662.352349  11.00
     581:   -662.352349  11.00
     582:   -634.162424   9.00
     583:   -634.162424   9.00
     584:   -634.162424   9.00
     585:   -634.162424   9.00
     586:   -634.162424   9.00
     587:   -634.162424   9.00
     588:   -634.162424   9.00
     589:   -634.162424   9.00
     590:   -634.162424   9.00
     591:   -582.499931  13.00
     592:   -582.499931  13.00
     593:   -582.499931  13.00
     594:   -582.499931  13.00
     595:   -582.499931  13.00
     596:   -582.499931  13.00
     597:   -582.499931  13.00
     598:   -582.499931  13.00
     599:   -582.499931  13.00
     600:   -582.499931  13.00
     601:   -582.499931  13.00
     602:   -582.499931  13.00
     603:   -582.499931  13.00
     604:   -541.839717  11.00
     605:   -541.839717  11.00
     606:   -541.839717  11.00
     607:   -541.839717  11.00
     608:   -541.839717  11.00
     609:   -541.839717  11.00
     610:   -541.839717  11.00
     611:   -541.839717  11.00
     612:   -541.839717  11.00
     613:   -541.839717  11.00
     614:   -541.839717  11.00
     615:   -512.519095   9.00
     616:   -512.519095   9.00
     617:   -512.519095   9.00
     618:   -512.519095   9.00
     619:   -512.519095   9.00
     620:   -512.519095   9.00
     621:   -512.519095   9.00
     622:   -512.519095   9.00
     623:   -512.519095   9.00
     624:   -471.119925  11.00
     625:   -471.119925  11.00
     626:   -471.119925  11.00
     627:   -471.119925  11.00
     628:   -471.119925  11.00
     629:   -471.119925  11.00
     630:   -471.119925  11.00
     631:   -471.119925  11.00
     632:   -471.119925  11.00
     633:   -471.119925  11.00
     634:   -471.119925  11.00
     635:   -445.203463   9.00
     636:   -445.203463   9.00
     637:   -445.203463   9.00
     638:   -445.203463   9.00
     639:   -445.203463   9.00
     640:   -445.203463   9.00
     641:   -445.203463   9.00
     642:   -445.203463   9.00
     643:   -445.203463   9.00
     644:   -408.593362  11.00
     645:   -408.593362  11.00
     646:   -408.593362  11.00
     647:   -408.593362  11.00
     648:   -408.593362  11.00
     649:   -408.593362  11.00
     650:   -408.593362  11.00
     651:   -408.593362  11.00
     652:   -408.593362  11.00
     653:   -408.593362  11.00
     654:   -408.593362  11.00
     655:   -342.377946  11.00
     656:   -342.377946  11.00
     657:   -342.377946  11.00
     658:   -342.377946  11.00
     659:   -342.377946  11.00
     660:   -342.377946  11.00
     661:   -342.377946  11.00
     662:   -342.377946  11.00
     663:   -342.377946  11.00
     664:   -342.377946  11.00
     665:   -342.377946  11.00
     666:   -336.121628  11.00
     667:   -336.121628  11.00
     668:   -336.121628  11.00
     669:   -336.121628  11.00
     670:   -336.121628  11.00
     671:   -336.121628  11.00
     672:   -336.121628  11.00
     673:   -336.121628  11.00
     674:   -336.121628  11.00
     675:   -336.121628  11.00
     676:   -336.121628  11.00
     677:   -298.294711   9.00
     678:   -298.294711   9.00
     679:   -298.294711   9.00
     680:   -298.294711   9.00
     681:   -298.294711   9.00
     682:   -298.294711   9.00
     683:   -298.294711   9.00
     684:   -298.294711   9.00
     685:   -298.294711   9.00
     686:   -234.539560  11.00
     687:   -234.539560  11.00
     688:   -234.539560  11.00
     689:   -234.539560  11.00
     690:   -234.539560  11.00
     691:   -234.539560  11.00
     692:   -234.539560  11.00
     693:   -234.539560  11.00
     694:   -234.539560  11.00
     695:   -234.539560  11.00
     696:   -234.539560  11.00
     697:   -137.723491  11.00
     698:   -137.723491  11.00
     699:   -137.723491  11.00
     700:   -137.723491  11.00
     701:   -137.723491  11.00
     702:   -137.723491  11.00
     703:   -137.723491  11.00
     704:   -137.723491  11.00
     705:   -137.723491  11.00
     706:   -137.723491  11.00
     707:   -137.723491  11.00
     708:   -106.360958  11.00
     709:   -106.360958  11.00
     710:   -106.360958  11.00
     711:   -106.360958  11.00
     712:   -106.360958  11.00
     713:   -106.360958  11.00
     714:   -106.360958  11.00
     715:   -106.360958  11.00
     716:   -106.360958  11.00
     717:   -106.360958  11.00
     718:   -106.360958  11.00
     719:    -89.209133  13.00
     720:    -89.209133  13.00
     721:    -89.209133  13.00
     722:    -89.209133  13.00
     723:    -89.209133  13.00
     724:    -89.209133  13.00
     725:    -89.209133  13.00
     726:    -89.209133  13.00
     727:    -89.209133  13.00
     728:    -89.209133  13.00
     729:    -89.209133  13.00
     730:    -89.209133  13.00
     731:    -89.209133  13.00
     732:    -40.257194  11.00
     733:    -40.257194  11.00
     734:    -40.257194  11.00
     735:    -40.257194  11.00
     736:    -40.257194  11.00
     737:    -40.257194  11.00
     738:    -40.257194  11.00
     739:    -40.257194  11.00
     740:    -40.257194  11.00
     741:    -40.257194  11.00
     742:    -40.257194  11.00
     743:    -34.296954  13.00
     744:    -34.296954  13.00
     745:    -34.296954  13.00
     746:    -34.296954  13.00
     747:    -34.296954  13.00
     748:    -34.296954  13.00
     749:    -34.296954  13.00
     750:    -34.296954  13.00
     751:    -34.296954  13.00
     752:    -34.296954  13.00
     753:    -34.296954  13.00
     754:    -34.296954  13.00
